,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__degree,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
925,0.7488473892211914,0.02343775541363036,0.31853151321411133,0.03951141376160801,100,balanced,3,0.001,rbf,"{'model__C': 100, 'model__class_weight': 'balanced', 'model__degree': 3, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.9309036990791321,0.9142188231621664,0.9333697518339316,0.9392305291087873,0.9192404153417038,0.9273926437051442,0.009254158386806217,1
953,0.7351335048675537,0.019655877882739967,0.3030055046081543,0.015388584709512624,100,balanced,4,0.001,rbf,"{'model__C': 100, 'model__class_weight': 'balanced', 'model__degree': 4, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.9309036990791321,0.9142188231621664,0.9333697518339316,0.9392305291087873,0.9192404153417038,0.9273926437051442,0.009254158386806217,1
981,0.7510945796966553,0.08125060159443298,0.2885533332824707,0.02401710958906921,100,balanced,5,0.001,rbf,"{'model__C': 100, 'model__class_weight': 'balanced', 'model__degree': 5, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.9309036990791321,0.9142188231621664,0.9333697518339316,0.9392305291087873,0.9192404153417038,0.9273926437051442,0.009254158386806217,1
761,0.6676789283752441,0.02815761031481824,0.2806849002838135,0.018625588592622273,10,balanced,3,0.01,rbf,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__degree': 3, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.9341657562041517,0.9162010301233027,0.927711877633838,0.9363040424535664,0.9129821628083225,0.9254729738446363,0.009379536270573625,4
817,0.6586556911468506,0.009640851094527206,0.2765181541442871,0.02088711496685999,10,balanced,5,0.01,rbf,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__degree': 5, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.9341657562041517,0.9162010301233027,0.927711877633838,0.9363040424535664,0.9129821628083225,0.9254729738446363,0.009379536270573625,4
789,0.6693686008453369,0.016286841437719173,0.2766005039215088,0.011234946214769314,10,balanced,4,0.01,rbf,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__degree': 4, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.9341657562041517,0.9162010301233027,0.927711877633838,0.9363040424535664,0.9129821628083225,0.9254729738446363,0.009379536270573625,4
897,0.6824920177459717,0.10117492018948938,0.21104936599731444,0.018671926096772658,100,,5,0.001,rbf,"{'model__C': 100, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.9294989854846262,0.9155923208990167,0.9172935851412518,0.9369751833931638,0.9125368189950857,0.9223793787826289,0.00930087895491145,7
869,0.725557804107666,0.19362928401435317,0.19907078742980958,0.023916970351288657,100,,4,0.001,rbf,"{'model__C': 100, 'model__class_weight': None, 'model__degree': 4, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.9294989854846262,0.9155923208990167,0.9172935851412518,0.9369751833931638,0.9125368189950857,0.9223793787826289,0.00930087895491145,7
841,0.48774166107177735,0.0163588703054901,0.17913036346435546,0.010830771239621628,100,,3,0.001,rbf,"{'model__C': 100, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.9294989854846262,0.9155923208990167,0.9172935851412518,0.9369751833931638,0.9125368189950857,0.9223793787826289,0.00930087895491145,7
677,0.5231264114379883,0.02376904352658113,0.21870479583740235,0.0337124755440729,10,,3,0.01,rbf,"{'model__C': 10, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.9326908069299205,0.911339160293429,0.9200874044014359,0.9404791634150149,0.9062785664617043,0.922175020300301,0.012806987705748524,10
