,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
274,2.5138532161712646,0.09800035237893236,0.14320292472839355,0.0060415319026482835,1000,balanced,0.001,rbf,"{'model__C': 1000, 'model__class_weight': 'balanced', 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.9358144420558921,0.9272645104553451,0.915172464334571,0.9430452413523549,0.9455967976710334,0.9333786911738393,0.011113119298120207,1
235,2.1479085445404054,0.036442245377189576,0.14697761535644532,0.005600366945779618,100,balanced,0.01,rbf,"{'model__C': 100, 'model__class_weight': 'balanced', 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.9365717217119406,0.9255056673832325,0.9118868477623608,0.9383549931600547,0.9485686559922368,0.932177577201965,0.012508912979337788,2
277,2.6960058212280273,0.0708890350976318,0.13020219802856445,0.005630789044486718,1000,balanced,0.01,rbf,"{'model__C': 1000, 'model__class_weight': 'balanced', 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.9388557748680867,0.9269835841313271,0.9096272229822161,0.9363885088919288,0.9416060164968462,0.9306922214740808,0.011624890266706059,3
196,1.9540361404418944,0.04404926314698029,0.14047136306762695,0.007257677862650558,10,balanced,0.1,rbf,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.937780926324018,0.9274110807113543,0.9069645299980457,0.9391489153801055,0.9417515769044154,0.9306114058635877,0.012789146355221898,4
193,2.3584532260894777,0.10456035737872581,0.16187119483947754,0.005501893358639715,10,balanced,0.01,rbf,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.9301592730115302,0.9265560875512996,0.9144151846785226,0.9396130545241352,0.9422974284327995,0.9306082056396574,0.009965544263052978,5
154,2.277395248413086,0.058797202728465246,0.16961383819580078,0.006417811969737136,1,balanced,0.1,rbf,"{'model__C': 1, 'model__class_weight': 'balanced', 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.9316982606996288,0.9210108461989447,0.9103967168262653,0.9386969904240766,0.9485807860262009,0.9300767200350233,0.013332902974383578,6
232,2.4914066314697267,0.039650938136089685,0.1642523765563965,0.009255485723023234,100,balanced,0.001,rbf,"{'model__C': 100, 'model__class_weight': 'balanced', 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.9273011530193472,0.9251758843072112,0.9168091655266759,0.9387214188000781,0.9403323629306162,0.9296679969167856,0.00879572305981757,7
175,1.4832441329956054,0.020904718001188132,0.10944085121154785,0.005824682890754848,10,,0.1,rbf,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.9355090873558726,0.9269713699433262,0.9017735000977134,0.941420754348251,0.9388524987869965,0.928905442106432,0.014415741534819613,8
256,2.2749425888061525,0.059002958440771996,0.10342493057250976,0.008640693630617143,1000,,0.01,rbf,"{'model__C': 1000, 'model__class_weight': None, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.9343731678717999,0.9291699237834669,0.9080027359781123,0.9353136603478601,0.9338791848617176,0.9281477345685915,0.010293899878575409,9
159,2.545609474182129,0.11145703131728275,0.06355490684509277,0.014015543096919204,1,balanced,10,linear,"{'model__C': 1, 'model__class_weight': 'balanced', 'model__gamma': 10, 'model__kernel': 'linear'}",0.9280584326753958,0.9170045925346884,0.9175664451827242,0.9401504787961696,0.9341703056768559,0.9273900509731667,0.00909514248240474,10
162,2.5884257316589356,0.11667205250818209,0.05803108215332031,0.006207956062011236,1,balanced,100,linear,"{'model__C': 1, 'model__class_weight': 'balanced', 'model__gamma': 100, 'model__kernel': 'linear'}",0.9280584326753958,0.9170045925346884,0.9175664451827242,0.9401504787961696,0.9341703056768559,0.9273900509731667,0.00909514248240474,10
147,2.5202528476715087,0.09555165420039972,0.05501976013183594,0.0036510774556382498,1,balanced,0.001,linear,"{'model__C': 1, 'model__class_weight': 'balanced', 'model__gamma': 0.001, 'model__kernel': 'linear'}",0.9280584326753958,0.9170045925346884,0.9175664451827242,0.9401504787961696,0.9341703056768559,0.9273900509731667,0.00909514248240474,10
150,2.5037548542022705,0.1305556013301142,0.057949495315551755,0.002427583430135538,1,balanced,0.01,linear,"{'model__C': 1, 'model__class_weight': 'balanced', 'model__gamma': 0.01, 'model__kernel': 'linear'}",0.9280584326753958,0.9170045925346884,0.9175664451827242,0.9401504787961696,0.9341703056768559,0.9273900509731667,0.00909514248240474,10
