,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
348,1.144128179550171,0.05277466376906498,0.007994890213012695,2.8649938365554433e-06,1,0.05,12,100,0,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 100, 'reg_lambda': 0, 'subsample': 0.8}",0.9311984473556526,0.9551617158491303,0.9379274965800273,0.928095075239398,0.9342754543677937,0.9373316378784005,0.009492492834420845,1
35,0.4084475040435791,0.031861405870007575,0.004420614242553711,0.004088145419963617,0.8,0.05,10,80,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 80, 'reg_lambda': 2, 'subsample': 1}",0.9342673459485686,0.9512287473128787,0.9361075825679108,0.9325410396716827,0.9318081883916357,0.9371905807785353,0.007174631516003742,2
29,0.36397404670715333,0.027260500634473217,0.0018758773803710938,0.0033974068419222484,0.8,0.05,10,70,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 70, 'reg_lambda': 2, 'subsample': 1}",0.9332605531295488,0.9519860269689271,0.9357533711158882,0.9340922415477818,0.9301959155755326,0.9370576216675357,0.007679226179426118,3
355,1.2048466205596924,0.12815753574445418,0.0031978607177734373,0.003916563655750878,1,0.05,12,120,0,1,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 120, 'reg_lambda': 0, 'subsample': 1}",0.9346676370693839,0.9499951143247997,0.9401504787961696,0.9308554817275748,0.9293775649794801,0.9370092553794815,0.0074845791054916145,4
340,0.5469149112701416,0.018077733375069696,0.0047968864440917965,0.003916641387472387,1,0.05,12,70,2,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 70, 'reg_lambda': 2, 'subsample': 0.8}",0.9358927704997574,0.9503371115888216,0.9368160054719561,0.9279362907953879,0.9335181747117451,0.9369000706135335,0.007394083569416044,5
50,0.44609980583190917,0.03206124175607292,0.0020120620727539064,0.004024124145507813,0.8,0.05,12,70,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 70, 'reg_lambda': 1, 'subsample': 0.8}",0.9340368753032509,0.9556747117451632,0.9327242524916943,0.93296853625171,0.9289134258354504,0.9368635603254537,0.009564092076478433,6
336,0.9009270668029785,0.04691377687557689,0.006397056579589844,0.0031985283146753604,1,0.05,12,70,0,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 70, 'reg_lambda': 0, 'subsample': 0.8}",0.93264192139738,0.9546120773890951,0.9369747899159664,0.928217217119406,0.9312951924956029,0.9367482396634902,0.009365297027527862,7
342,1.4462069988250732,0.12793241655976964,0.0015994548797607423,0.0031989097595214845,1,0.05,12,80,0,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 80, 'reg_lambda': 0, 'subsample': 0.8}",0.9301552644347403,0.9533418018370139,0.9354358022278678,0.9306966972835646,0.9340189564197772,0.9367297044405927,0.008539374150649894,8
346,0.6502123355865479,0.025438049444528557,0.004796791076660156,0.003916563551252992,1,0.05,12,80,2,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 80, 'reg_lambda': 2, 'subsample': 0.8}",0.935977680737506,0.9510088919288645,0.937390072307993,0.9268980848153214,0.9320769005276528,0.9366703260634676,0.0080397577133326,9
354,1.019710111618042,0.04079714607577246,0.003199005126953125,0.00391796516921813,1,0.05,12,120,0,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 120, 'reg_lambda': 0, 'subsample': 0.8}",0.929718583212033,0.957079343365253,0.9345808090678133,0.927313367207348,0.9331028923197185,0.9363589990344332,0.010667852990440893,10
349,1.1696143627166748,0.050095962628244825,0.006396579742431641,0.0031982899192031,1,0.05,12,100,0,1,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 100, 'reg_lambda': 0, 'subsample': 1}",0.9360019408054343,0.947796560484659,0.9398695524721518,0.9321013289036545,0.9258232362712526,0.9363185237874305,0.00738093691426925,11
62,0.5644104480743408,0.026414638750657325,0.004761505126953125,0.0030459951008092825,0.8,0.05,12,100,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",0.9346797671033479,0.9528654485049833,0.9330540355677155,0.9309409810435801,0.929890560875513,0.9362861586190281,0.008454283648576503,12
41,0.4884605884552002,0.034716072963514054,0.001524639129638672,0.0021880778420582396,0.8,0.05,10,100,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100, 'reg_lambda': 2, 'subsample': 1}",0.9318413391557496,0.9520837404729334,0.9355335157318743,0.929780633183506,0.9314173343756107,0.9361313125839349,0.008195046162654053,13
54,0.8333670616149902,0.025063434693108715,0.0020076751708984373,0.0012697954387256571,0.8,0.05,12,80,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 80, 'reg_lambda': 0, 'subsample': 0.8}",0.9311014070839397,0.9544777213210867,0.9350449482118429,0.9332616767637287,0.9261285909712722,0.9360028688703741,0.009708528322065544,14
48,0.7818236827850342,0.03738214007134836,0.004811286926269531,0.003928408751786567,0.8,0.05,12,70,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 70, 'reg_lambda': 0, 'subsample': 0.8}",0.9324478408539544,0.9541845808090678,0.934422024623803,0.9343487394957982,0.9243208911471567,0.935944815385956,0.009847840760587062,15
