,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
522,0.6975438594818115,0.04139400999162343,0.00983567237854004,0.0022715376357414626,0.8,0.13,10,15,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.13, 'max_depth': 10, 'n_estimators': 15, 'reg_lambda': 1, 'subsample': 0.8}",0.9493293845315904,0.9405233941316415,0.9372585081073784,0.9425818752425464,0.9434930062260617,0.9426372336478437,0.00397289065163919,1
882,0.36290526390075684,0.027728855398989963,0.006334257125854492,0.0011465462103050948,1,0.05,9,15,1,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 15, 'reg_lambda': 1, 'subsample': 0.8}",0.9426402505446624,0.9485379722273778,0.940135319823848,0.939806300302023,0.9391735704523596,0.9420586826700541,0.003447197059615068,2
1088,0.6347867012023926,0.01695427898528411,0.006090688705444336,0.0015775472547723264,1,0.1,9,20,0,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 20, 'reg_lambda': 0, 'subsample': 0.8}",0.9464869281045751,0.9405655761216191,0.9352590817824422,0.9463107631565627,0.9411476875833094,0.9419540073497018,0.004169618997522777,3
292,0.5367270469665527,0.03254369550015523,0.009176969528198242,0.002062825295565442,0.8,0.1,9,20,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 20, 'reg_lambda': 2, 'subsample': 0.8}",0.942665781590414,0.941881654208919,0.9411223783893229,0.9428349671824118,0.9399412826699514,0.9416892128082038,0.0010658362343017585,4
546,0.7455545425415039,0.06044662899360091,0.010604000091552735,0.0033057849365232266,0.8,0.13,10,22,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.13, 'max_depth': 10, 'n_estimators': 22, 'reg_lambda': 1, 'subsample': 0.8}",0.9470996732026145,0.9372331989133919,0.9397472455160545,0.9445222467815142,0.9394941535761893,0.9416193035979529,0.0036254739969172247,5
572,1.6039047241210938,0.1811579258561825,0.012820959091186523,0.005608449640367554,0.8,0.13,15,20,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.13, 'max_depth': 15, 'n_estimators': 20, 'reg_lambda': 2, 'subsample': 0.8}",0.9463167211328977,0.9393085528202879,0.9349047530666306,0.9450959218452091,0.9418900906069145,0.9415032078943881,0.004112986712140283,6
84,0.6325937271118164,0.18728521231914252,0.043029260635375974,0.026131458988353035,0.8,0.05,9,15,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 15, 'reg_lambda': 2, 'subsample': 0.8}",0.9441380718954249,0.9464035635345134,0.9324328884539457,0.9412067423692779,0.942936203958358,0.941423494042304,0.004802838462642617,7
554,1.2527880191802978,0.05573416960208377,0.013477277755737305,0.001018028475745345,0.8,0.13,10,30,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.13, 'max_depth': 10, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 0.8}",0.9444274237472766,0.9476605868358445,0.9419575817908786,0.9391060792683955,0.9333355830394654,0.9412974509363721,0.0048767909779327615,8
122,0.5565720558166504,0.06080854494865339,0.015773725509643555,0.01343449133905761,0.8,0.05,10,15,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 15, 'reg_lambda': 1, 'subsample': 0.8}",0.9488528050108932,0.9469856749962036,0.9285605817740057,0.9404390301516864,0.9415104526971165,0.9412697089259812,0.007105568409401552,9
354,1.1890085220336915,0.09293072903102033,0.009025955200195312,0.0013891385917585196,0.8,0.1,10,30,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 0.8}",0.944972086056645,0.9420419457708337,0.9360183576020382,0.9439148261258373,0.9393338620142744,0.9412562155139257,0.0032441909560129907,10
