,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
435,0.05131640434265137,0.008958579868740333,0.005491733551025391,0.006016695091176925,0.5,0.67,25,74,200,1,"{'colsample_bytree': 0.5, 'learning_rate': 0.67, 'max_depth': 25, 'n_estimators': 74, 'reg_lambda': 200, 'subsample': 1}",0.9142857142857143,0.8785714285714287,0.9714285714285715,0.8583333333333334,0.9624060150375939,0.9170050125313283,0.04460958571984125,1
375,0.061197757720947266,0.001880743141970174,0.00299530029296875,0.000630642486596578,0.5,0.67,19,74,200,1,"{'colsample_bytree': 0.5, 'learning_rate': 0.67, 'max_depth': 19, 'n_estimators': 74, 'reg_lambda': 200, 'subsample': 1}",0.9142857142857143,0.8785714285714287,0.9714285714285715,0.8583333333333334,0.9624060150375939,0.9170050125313283,0.04460958571984125,1
345,0.05527315139770508,0.008197095899692823,0.010566043853759765,0.009697722713190058,0.5,0.67,18,74,200,1,"{'colsample_bytree': 0.5, 'learning_rate': 0.67, 'max_depth': 18, 'n_estimators': 74, 'reg_lambda': 200, 'subsample': 1}",0.9142857142857143,0.8785714285714287,0.9714285714285715,0.8583333333333334,0.9624060150375939,0.9170050125313283,0.04460958571984125,1
405,0.048476648330688474,0.00862347534517775,0.00838313102722168,0.007279562928855759,0.5,0.67,20,74,200,1,"{'colsample_bytree': 0.5, 'learning_rate': 0.67, 'max_depth': 20, 'n_estimators': 74, 'reg_lambda': 200, 'subsample': 1}",0.9142857142857143,0.8785714285714287,0.9714285714285715,0.8583333333333334,0.9624060150375939,0.9170050125313283,0.04460958571984125,1
315,0.0693741798400879,0.01618623843061708,0.002498006820678711,0.00044000621538353447,0.5,0.67,15,74,200,1,"{'colsample_bytree': 0.5, 'learning_rate': 0.67, 'max_depth': 15, 'n_estimators': 74, 'reg_lambda': 200, 'subsample': 1}",0.9142857142857143,0.8785714285714287,0.9714285714285715,0.8583333333333334,0.9624060150375939,0.9170050125313283,0.04460958571984125,1
1133,0.0682332992553711,0.00262545083676206,0.0034277915954589845,0.0009159158885528435,0.8,1,19,75,300,1,"{'colsample_bytree': 0.8, 'learning_rate': 1, 'max_depth': 19, 'n_estimators': 75, 'reg_lambda': 300, 'subsample': 1}",0.907142857142857,0.8642857142857143,0.9857142857142858,0.8583333333333333,0.9624060150375939,0.9155764411027569,0.051168278502604234,6
357,0.06729564666748047,0.0029077177070611386,0.0027906417846679686,0.0007457029664355092,0.5,0.67,18,80,200,1,"{'colsample_bytree': 0.5, 'learning_rate': 0.67, 'max_depth': 18, 'n_estimators': 80, 'reg_lambda': 200, 'subsample': 1}",0.9142857142857143,0.8714285714285714,0.9714285714285715,0.8583333333333334,0.9624060150375939,0.9155764411027569,0.04591283745628685,6
351,0.060891580581665036,0.00864531363499167,0.00707850456237793,0.007949864560526848,0.5,0.67,18,75,200,1,"{'colsample_bytree': 0.5, 'learning_rate': 0.67, 'max_depth': 18, 'n_estimators': 75, 'reg_lambda': 200, 'subsample': 1}",0.9142857142857143,0.8714285714285714,0.9714285714285715,0.8583333333333334,0.9624060150375939,0.9155764411027569,0.04591283745628685,6
1103,0.06729712486267089,0.0012970532342026233,0.003386402130126953,0.0004853997244936216,0.8,1,18,75,300,1,"{'colsample_bytree': 0.8, 'learning_rate': 1, 'max_depth': 18, 'n_estimators': 75, 'reg_lambda': 300, 'subsample': 1}",0.907142857142857,0.8642857142857143,0.9857142857142858,0.8583333333333333,0.9624060150375939,0.9155764411027569,0.051168278502604234,6
381,0.05473694801330566,0.009321026474552891,0.0021015167236328124,0.00019951932260493056,0.5,0.67,19,75,200,1,"{'colsample_bytree': 0.5, 'learning_rate': 0.67, 'max_depth': 19, 'n_estimators': 75, 'reg_lambda': 200, 'subsample': 1}",0.9142857142857143,0.8714285714285714,0.9714285714285715,0.8583333333333334,0.9624060150375939,0.9155764411027569,0.04591283745628685,6
387,0.06434617042541504,0.00219473886306492,0.002591514587402344,0.0004882467106807247,0.5,0.67,19,80,200,1,"{'colsample_bytree': 0.5, 'learning_rate': 0.67, 'max_depth': 19, 'n_estimators': 80, 'reg_lambda': 200, 'subsample': 1}",0.9142857142857143,0.8714285714285714,0.9714285714285715,0.8583333333333334,0.9624060150375939,0.9155764411027569,0.04591283745628685,6
447,0.07451300621032715,0.0088447056668737,0.002990055084228516,0.0012605595938409034,0.5,0.67,25,80,200,1,"{'colsample_bytree': 0.5, 'learning_rate': 0.67, 'max_depth': 25, 'n_estimators': 80, 'reg_lambda': 200, 'subsample': 1}",0.9142857142857143,0.8714285714285714,0.9714285714285715,0.8583333333333334,0.9624060150375939,0.9155764411027569,0.04591283745628685,6
