,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
512,0.04800491333007813,0.005212765143427685,0.0033887386322021484,0.0004880521514367926,1,0.79,6,10,100,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.79, 'max_depth': 6, 'n_estimators': 10, 'reg_lambda': 100, 'subsample': 0.8}",0.8847953216374268,0.8877192982456141,0.9245614035087719,0.8627232142857142,0.8939732142857143,0.8907544903926483,0.019918554574801486,1
610,0.043084144592285156,0.001476482329568946,0.004140520095825195,0.0011733095132101718,1,1,5,10,200,0.8,"{'colsample_bytree': 1, 'learning_rate': 1, 'max_depth': 5, 'n_estimators': 10, 'reg_lambda': 200, 'subsample': 0.8}",0.876608187134503,0.8830409356725146,0.9356725146198831,0.8671875000000001,0.8900669642857143,0.890515220342523,0.023802668759199317,2
368,0.03449835777282715,0.0023278802720410083,0.0031918048858642577,0.0009771576270364046,1,0.5,5,10,100,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 10, 'reg_lambda': 100, 'subsample': 0.8}",0.856140350877193,0.8994152046783626,0.9292397660818713,0.8571428571428571,0.8962053571428572,0.8876287071846282,0.027802389487017052,3
495,0.06329889297485351,0.004625886136294493,0.004460334777832031,0.001337612900799298,1,0.79,5,15,100,1,"{'colsample_bytree': 1, 'learning_rate': 0.79, 'max_depth': 5, 'n_estimators': 15, 'reg_lambda': 100, 'subsample': 1}",0.8385964912280702,0.9216374269005848,0.9450292397660818,0.8493303571428572,0.8794642857142857,0.886811560150376,0.040952790152694166,4
634,0.05162811279296875,0.007806917842459331,0.0035585403442382813,0.0004692212980923526,1,1,6,10,200,0.8,"{'colsample_bytree': 1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 10, 'reg_lambda': 200, 'subsample': 0.8}",0.8730994152046784,0.888888888888889,0.94093567251462,0.8504464285714286,0.8783482142857144,0.8863437238930661,0.030049008027147085,5
584,0.06305408477783203,0.00517794974365248,0.004186105728149414,0.0011621396763979858,1,0.79,15,10,100,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.79, 'max_depth': 15, 'n_estimators': 10, 'reg_lambda': 100, 'subsample': 0.8}",0.8637426900584795,0.887719298245614,0.9350877192982456,0.8638392857142857,0.8805803571428572,0.8861938700918964,0.02618484247225107,6
560,0.06379890441894531,0.0049334917546982274,0.004046821594238281,0.0006497826484817364,1,0.79,10,10,100,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.79, 'max_depth': 10, 'n_estimators': 10, 'reg_lambda': 100, 'subsample': 0.8}",0.8637426900584795,0.887719298245614,0.9350877192982456,0.8638392857142857,0.8805803571428572,0.8861938700918964,0.02618484247225107,6
392,0.04384307861328125,0.005157112574346389,0.0024765968322753907,0.00046543382540431745,1,0.5,6,10,100,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.5, 'max_depth': 6, 'n_estimators': 10, 'reg_lambda': 100, 'subsample': 0.8}",0.854970760233918,0.9064327485380117,0.9368421052631579,0.8510044642857144,0.8805803571428572,0.8859660870927317,0.03230877558519069,8
656,0.05408186912536621,0.005282058036582325,0.0038718223571777345,0.0008569317053122986,1,1,7,10,100,0.8,"{'colsample_bytree': 1, 'learning_rate': 1, 'max_depth': 7, 'n_estimators': 10, 'reg_lambda': 100, 'subsample': 0.8}",0.8649122807017543,0.8654970760233918,0.9520467836257309,0.8526785714285714,0.8939732142857143,0.8858215852130324,0.03577979880603577,9
362,0.02947654724121094,0.003035102435759218,0.002790689468383789,0.00039863594981470973,1,0.5,5,8,100,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 8, 'reg_lambda': 100, 'subsample': 0.8}",0.845029239766082,0.9017543859649123,0.9245614035087719,0.8638392857142858,0.8911830357142857,0.8852734701336675,0.02803250827335364,10
