,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
30,2.231682634353638,0.04116389542298378,0.011521625518798827,0.003699520293500165,0.8,0.01,10,100,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'reg_lambda': 0, 'subsample': 0.8}",0.9331028626880156,0.942483388704319,0.9315761188196208,0.9402359781121751,0.9373045729919874,0.9369405842632237,0.004128447307911963,1
126,0.6301385879516601,0.014656759366703825,0.00799260139465332,4.517638886385732e-06,0.8,0.1,10,30,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 30, 'reg_lambda': 0, 'subsample': 0.8}",0.934582726831635,0.9500073285128006,0.9355945866718781,0.9312219073675981,0.9328341801837013,0.9368481459135227,0.006747356550914712,2
24,1.0980066776275634,0.03222747261910073,0.006398916244506836,0.00319946419619614,0.8,0.01,10,50,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'reg_lambda': 0, 'subsample': 0.8}",0.9328845220766617,0.9441567324604262,0.9299149892515146,0.9408955442642173,0.9360953683799101,0.9367894312865461,0.005179291127574707,3
12,1.3242467403411866,0.03452481522129245,0.009595441818237304,0.003203370062141476,0.8,0.01,8,100,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100, 'reg_lambda': 0, 'subsample': 0.8}",0.9281659388646288,0.9498363298807895,0.928547000195427,0.9432040257963651,0.9328952511237053,0.9365297091721831,0.008584849896810048,4
6,0.7037067890167237,0.014305026454970964,0.006397342681884766,0.0031986723165672243,0.8,0.01,8,50,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 50, 'reg_lambda': 0, 'subsample': 0.8}",0.9270742358078602,0.9515585303888997,0.928406537033418,0.9420558921242915,0.9322723275356654,0.9362735045780269,0.009269230407668794,5
78,1.050767421722412,0.04002029652211937,0.01119074821472168,0.003912463820438823,0.8,0.05,10,50,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 50, 'reg_lambda': 0, 'subsample': 0.8}",0.9309437166424067,0.9527310924369748,0.9329318936877077,0.9341533124877858,0.9300493453195231,0.9361618721148796,0.008409497783537032,6
42,1.6585063934326172,0.05599772167141096,0.012798500061035157,0.003916974781098596,0.8,0.01,12,50,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 50, 'reg_lambda': 0, 'subsample': 0.8}",0.9326055312954877,0.9431918116083643,0.9362297244479186,0.9320280437756499,0.936547293335939,0.9361204808926719,0.003982479964401834,7
364,0.5613669872283935,0.041213401903311755,0.007995414733886718,2.956390380859375e-06,1,0.1,12,30,2,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 0.8}",0.9355531295487627,0.9416833593902677,0.9396985538401407,0.9209131326949385,0.9417627516122727,0.9359221854172765,0.007835459952630951,8
72,0.6557303428649902,0.01130385442463366,0.007991552352905273,9.365936364614e-06,0.8,0.05,10,30,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 30, 'reg_lambda': 0, 'subsample': 0.8}",0.9300218340611353,0.9508623216728551,0.9332006058237248,0.9373045729919874,0.927435509087356,0.9357649687274117,0.008236988503608565,9
48,3.0099426746368407,0.12890090195249454,0.01599397659301758,1.3704402793121256e-06,0.8,0.01,12,100,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 100, 'reg_lambda': 0, 'subsample': 0.8}",0.9328360019408054,0.9438635919484073,0.9368160054719563,0.9299882743795193,0.9351670900918506,0.9357341927665079,0.004668921575782999,10
61,0.698909330368042,0.03141851451506097,0.007994842529296876,6.64396909614645e-06,0.8,0.05,8,50,0,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 50, 'reg_lambda': 0, 'subsample': 1}",0.9283600194080543,0.9504592534688294,0.9290599960914598,0.9374511432479969,0.9333349618917334,0.9357330748216148,0.008055494623698228,11
348,0.8908300399780273,0.05507665790685542,0.009595155715942383,0.003200055248707666,1,0.1,10,50,0,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50, 'reg_lambda': 0, 'subsample': 0.8}",0.9323993207180981,0.9478087746726598,0.9404436193081883,0.91640609732265,0.9403947625561853,0.9354905149155563,0.010715361756984518,12
342,0.6077447891235351,0.03117619245992923,0.00799698829650879,2.456521391371013e-06,1,0.1,10,30,0,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 30, 'reg_lambda': 0, 'subsample': 0.8}",0.9327874818049491,0.9478454172366622,0.9382328512800469,0.9221589798710181,0.9364007230799297,0.9354850906545211,0.008318997133432796,13
0,0.4709494590759277,0.026083600664546798,0.009596538543701173,0.003199245096658045,0.8,0.01,8,30,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 0, 'subsample': 0.8}",0.9254184861717613,0.9535372288450265,0.9256155950752394,0.9410176861442252,0.9316982606996286,0.9354574513871763,0.010673041144541253,14
15,0.663719367980957,0.008764498092470055,0.004797172546386719,0.003916875076092229,0.8,0.01,8,100,1,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 1}",0.9276686074721009,0.9466789622825874,0.929951631815517,0.9405962966581981,0.9320158295876491,0.9353822655632105,0.007143201974671602,15
417,0.6173418998718262,0.025488902097482124,0.009596109390258789,0.003198862440088335,1,0.2,12,30,1,1,"{'colsample_bytree': 1, 'learning_rate': 0.2, 'max_depth': 12, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 1}",0.9385371179039301,0.9431795974203634,0.9417871799882745,0.9189832909908149,0.9341777408637874,0.935332985433434,0.00874230530576865,16
55,0.49898977279663087,0.010847461420000348,0.007997226715087891,1.1911388394161984e-06,0.8,0.05,8,30,0,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 0, 'subsample': 1}",0.9251334303736052,0.949500439710768,0.9302020226695329,0.938330564784053,0.9332738909517295,0.9352880696979377,0.00829806878658808,17
36,1.0507605075836182,0.03059807078858342,0.006395149230957031,0.0031975765033998393,0.8,0.01,12,30,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 30, 'reg_lambda': 0, 'subsample': 0.8}",0.9317928190198932,0.943326167676373,0.9362541528239201,0.9308676959155755,0.9341288841117841,0.9352739439095092,0.00444170082128574,18
33,1.0683524131774902,0.04250806668881538,0.009590768814086914,0.003201422712051882,0.8,0.01,10,100,1,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 1}",0.9351892285298399,0.9443521594684385,0.9324860758256791,0.9335059605237443,0.930544019933555,0.9352154888562513,0.004809869935604665,19
377,1.735274887084961,0.15214634750789857,0.012798738479614259,0.0063999083792136875,1,0.1,12,100,2,1,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 100, 'reg_lambda': 2, 'subsample': 1}",0.9361353711790394,0.943204025796365,0.9445231581004495,0.917468731678718,0.9342388118037913,0.9351140197116725,0.009665872140033262,20
97,1.5609485149383544,0.06264110888405743,0.011199474334716797,0.0039246138923219025,0.8,0.05,12,50,0,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 50, 'reg_lambda': 0, 'subsample': 1}",0.9351407083939836,0.9459277897205394,0.9370969317959742,0.9258232362712526,0.9314906195036153,0.9350958571370731,0.006638016436156967,21
26,0.5261260032653808,0.007293583857955039,0.009596109390258789,0.0031979101167943134,0.8,0.01,10,50,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'reg_lambda': 1, 'subsample': 0.8}",0.934970887918486,0.9420681063122924,0.9327486808676958,0.9357655853038891,0.9294508501074848,0.9350008221019696,0.0041570805669005435,22
351,0.7356901168823242,0.03198431744416897,0.007996463775634765,2.314502925779647e-06,1,0.1,10,50,1,1,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50, 'reg_lambda': 1, 'subsample': 1}",0.9354560892770499,0.9494210474887629,0.9378908540160249,0.9218902677350009,0.9303058432675396,0.9349928203568757,0.009060150051696109,23
115,0.7085000514984131,0.07893944982049352,0.011197662353515625,0.003921510692583913,0.8,0.1,8,50,0,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 50, 'reg_lambda': 0, 'subsample': 1}",0.9310892770499758,0.9500195427008012,0.9338479577877663,0.9299638460035176,0.9300127027555207,0.9349866652595165,0.007647780200768901,24
65,0.4270169734954834,0.0206030641690747,0.007996177673339844,0.005056639755191405,0.8,0.05,8,50,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 50, 'reg_lambda': 2, 'subsample': 1}",0.9309012615235321,0.9475644909126442,0.9304279851475473,0.9345380594098104,0.9314173343756108,0.934969826273829,0.006459314802976137,25
9,0.340654993057251,0.010845981037414888,0.004801368713378907,0.0039203066017523425,0.8,0.01,8,50,1,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 50, 'reg_lambda': 1, 'subsample': 1}",0.926789180009704,0.9480530584326754,0.9282416454954074,0.9411215067422318,0.930611197967559,0.9349633177295156,0.008248672076157931,26
133,1.0123732566833497,0.07374174712296881,0.011193656921386718,0.00391835539971872,0.8,0.1,10,50,0,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50, 'reg_lambda': 0, 'subsample': 1}",0.9364022319262495,0.9478698456126636,0.9332128200117256,0.919764999022865,0.9374755716239984,0.9349450936395005,0.009044466030407906,27
16,0.5965486526489258,0.018652959223507442,0.007996320724487305,0.005057544097425748,0.8,0.01,8,100,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100, 'reg_lambda': 2, 'subsample': 0.8}",0.9323326055312955,0.945249902286496,0.9309409810435801,0.9358205491498925,0.930342485831542,0.9349373047685612,0.005495401908860117,28
283,1.3034552574157714,0.01338117323103349,0.011195135116577149,0.00391685602411321,1,0.05,8,100,0,1,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 100, 'reg_lambda': 0, 'subsample': 1}",0.9297549733139253,0.9525356654289623,0.93453195231581,0.9252125268712135,0.9325654680476843,0.934920117195519,0.009347926030624336,29
81,0.6333269119262696,0.029225757009343854,0.006396436691284179,0.0031982186953349763,0.8,0.05,10,50,1,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 50, 'reg_lambda': 1, 'subsample': 1}",0.9305555555555556,0.9443033027164354,0.9341716337697871,0.9316371897596247,0.9338174223177643,0.9348970208238334,0.004891721120391445,30
145,0.8780351161956788,0.02878394763162812,0.009591484069824218,0.005980856392278633,0.8,0.1,12,30,0,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 30, 'reg_lambda': 0, 'subsample': 1}",0.93418243571082,0.9472713504006253,0.9323944694156732,0.9234170412350987,0.9371946452999804,0.9348919884124396,0.007706702418993792,31
